datetime,S,sigma,K,expiry,T_years,contracts,shares,opt_price_straddle,opt_value,delta_opt,gamma_opt,vega_1pct_opt,theta_day_opt,cash,equity
2021-08-02,437.59,0.1619461873334836,438.0,2021-09-01,0.0821917808219178,1.0,0.3492724219814336,16.219785224203434,1621.9785224203433,0.24281425919636113,3.9272245917181503,100.0966710673127,-27.017123740208522,95586.92899400281,97361.745635558
2021-08-03,441.15,0.15455298916805366,438.0,2021-09-01,0.07945205479452055,1.0,0.3492724219814336,15.484276600442286,1548.4276600442286,14.77715791767657,4.080271617383588,97.50888356653911,-25.98325763042814,95586.92899400281,97289.43818300414
2021-08-04,438.98,0.1546842068128019,438.0,2021-09-01,0.07671232876712329,1.0,0.3492724219814336,15.008434550903331,1500.843455090333,5.866137534493854,4.230979207468781,96.74788973670935,-26.723876044170186,95586.92899400281,97241.09605689456
2021-08-05,441.76,0.14933801940327737,438.0,2021-09-01,0.07397260273972603,1.0,0.3492724219814336,14.56889899637818,1456.889899637818,18.249807068603218,4.329969055084262,93.34667608708746,-25.81519949023133,95586.92899400281,97198.11347877514
2021-08-06,442.49,0.1403732428950847,438.0,2021-09-01,0.07123287671232877,1.0,0.3492724219814336,13.643878154841588,1364.3878154841586,22.891761997148308,4.61348287589507,90.32347759674808,-24.38269126887896,95586.92899400281,97105.86636348953
2021-08-09,442.13,0.1436437093844867,438.0,2021-09-01,0.06301369863013699,1.0,0.3492724219814336,13.086471961672089,1308.647196167209,21.922100730600075,4.81467799925462,85.19003543823244,-26.602201506399087,95586.92899400281,97050.00000610067
2021-08-10,442.68,0.14365643456849708,438.0,2021-09-01,0.06027397260273973,1.0,0.3492724219814336,12.949024112172111,1294.902411217211,25.026196033531978,4.856967015422278,82.41378425685267,-26.907432740083614,95586.92899400281,97036.44732098276
2021-08-11,443.78,0.1393329464550966,438.0,2021-09-01,0.057534246575342465,1.0,0.3492724219814336,12.649187414007656,1264.9187414007656,31.744707307174934,4.948047983564105,78.11772835844414,-25.915174434668764,95586.92899400281,97006.8478508305
2021-08-12,445.11,0.1361210656899358,438.0,2021-09-01,0.0547945205479452,1.0,0.3492724219814336,12.628873702104926,1262.8873702104925,39.78359836502155,4.911003687081048,72.57172308329407,-24.696350712632256,95586.92899400281,97005.28101196146
2021-08-13,445.92,0.13307531672498052,438.0,2021-09-01,0.052054794520547946,1.0,0.3492724219814336,12.518563045167227,1251.8563045167227,45.50982254908911,4.906414532462273,67.58283187520642,-23.667386202537376,95586.92899400281,96994.5328569295
2021-08-16,446.97,0.12864355990382226,438.0,2021-09-01,0.043835616438356165,1.0,-55.640785224485526,12.081727243492068,1208.1727243492069,55.640785224485526,4.941975342098287,55.67657248484322,-22.382601524041977,120612.80506024415,96951.21601280506
2021-08-17,444.04,0.13675482849041104,438.0,2021-09-01,0.0410958904109589,1.0,-55.640785224485526,10.921623377571535,1092.1623377571536,38.84628248545747,5.697240911492081,63.13204189081394,-28.778705203425687,120612.80506024415,96998.23312692075
2021-08-18,439.18,0.16195755739966375,438.0,2021-09-01,0.038356164383561646,1.0,-55.640785224485526,11.139297818107252,1113.9297818107252,8.019609832864722,5.698723243234888,68.2808728734789,-39.49501209894858,120612.80506024415,97290.41478716533
