datetime,close,hv,vix,sigma_proxy
2022-04-12,438.29,0.17748863424241015,24.26,0.21655545369696405
2022-04-13,443.31,0.16480629406001954,21.82,0.19684251762400784
2022-04-14,437.79,0.16540629097739867,22.7,0.20236251639095948
2022-04-18,437.97,0.1626257391923817,22.17,0.19807029567695267
2022-04-19,445.04,0.17318176087608878,21.37,0.19749270435043553
2022-04-20,444.71,0.16770997432091286,20.32,0.18900398972836513
2022-04-21,438.06,0.1699281026421122,22.68,0.20405124105684488
2022-04-22,426.04,0.18498882700257002,28.21,0.24325553080102802
2022-04-25,428.51,0.18551565001929674,27.02,0.23632626000771867
2022-04-26,416.1,0.20412458377283207,33.52,0.2827698335091329
2022-04-27,417.27,0.19635959440415973,31.6,0.2681438377616639
2022-04-28,427.81,0.22321329425249745,29.99,0.269225317700999
2022-04-29,412.0,0.25113132475602107,33.4,0.3008525299024084
2022-05-02,414.48,0.2526224749538574,32.34,0.295088989981543
2022-05-03,416.38,0.25030916057780356,29.25,0.2756236642311214
2022-05-04,429.06,0.2765603285359819,25.42,0.26314413141439275
2022-05-05,413.81,0.3005535594220937,31.2,0.3074214237688375
2022-05-06,411.34,0.29879935599865703,30.19,0.3006597423994628
2022-05-09,398.17,0.31494391666277294,34.75,0.3344775666651092
2022-05-10,399.09,0.31320452560112483,32.99,0.32322181024044994
2022-05-11,392.75,0.31563567678503235,32.56,0.32161427071401294
2022-05-12,392.34,0.3098524653239214,31.77,0.31456098612956856
2022-05-13,401.72,0.32606776996022635,28.87,0.30364710798409056
2022-05-16,400.09,0.32559692342917096,27.47,0.2950587693716684
2022-05-17,408.32,0.3295756987028602,26.1,0.2884302794811441
2022-05-18,391.86,0.35407695965606856,30.96,0.32739078386242737
2022-05-19,389.46,0.35256893182411686,29.35,0.31712757272964676
2022-05-20,389.63,0.3433923269000329,29.43,0.31393693076001317
2022-05-23,396.92,0.3513348724133854,28.48,0.3114139489653542
2022-05-24,393.89,0.33860523054219493,29.45,0.31214209221687794
2022-05-25,397.37,0.34056867556604414,28.37,0.30644747022641766
2022-05-26,405.31,0.335518762167539,27.5,0.29920750486701564
2022-05-27,415.26,0.3216550318845652,25.72,0.28298201275382606
2022-05-31,412.93,0.32161478034673163,26.19,0.28578591213869264
2022-06-01,409.59,0.32227857150762557,25.69,0.2830514286030502
2022-06-02,417.39,0.31035904736335806,24.72,0.2724636189453432
2022-06-03,410.54,0.2881774641415596,24.79,0.26401098565662384
2022-06-06,411.79,0.2876358916994046,25.07,0.2654743566797618
2022-06-07,415.74,0.262035861457317,24.02,0.2489343445829268
2022-06-08,411.22,0.2661186537717198,23.96,0.2502074615086879
2022-06-09,401.44,0.2745527960210484,26.09,0.26636111840841936
2022-06-10,389.8,0.2951906295338353,27.75,0.28457625181353413
2022-06-13,375.0,0.3106319355792497,34.02,0.3283727742316999
